10869,-4569,1115,-4073,1650,-1389,-1115
10879,-2984,548,-3260,1317,-3300,-1462
10889,-2098,1606,-3115,1575,-3900,-1921
10900,-1701,1686,-3606,1003,-4106,-2365
10910,-804,1065,-3895,343,-4592,-2809
10920,28,1343,-4013,375,-4944,-3379
10928,582,1739,-4286,338,-5100,-3998
10938,1157,1561,-4479,-40,-5293,-4588
10949,1740,1324,-4694,-345,-5505,-5156
10959,2307,1164,-4886,-507,-5695,-5699
10969,2881,1032,-4846,-618,-5843,-6149
10979,3505,805,-4797,-699,-5847,-6430
10990,3926,589,-4845,-753,-5680,-6448
11000,4236,294,-4812,-803,-5407,-6115
11008,4434,236,-4608,-666,-5078,-5529
11018,4589,613,-4362,-410,-4709,-4826
11029,4867,1077,-3970,-325,-4261,-4091
11039,5287,1504,-3494,-504,-3651,-3401
11049,5783,2018,-2979,-857,-2757,-2834
11059,5774,2254,-2880,-1326,-1478,-2420
11070,3029,-9489,-8213,362,-888,-1850
11078,11339,-2906,-4603,3246,-1425,-1645
11088,832,-284,-5299,741,-622,-271
11098,-11,-131,-4655,221,-422,200
11108,337,-77,-4624,98,-254,-5
11119,612,-11,-4709,72,-191,24
11129,517,33,-4574,29,-162,2
11139,572,-11,-4553,46,-176,16
11149,573,-19,-4594,-5,-224,-4
11158,494,35,-4564,-45,-237,-26
11168,519,51,-4611,-23,-235,-18
11178,489,27,-4633,8,-206,-1
11188,515,25,-4616,38,-165,15
11199,502,1,-4620,45,-137,17
11209,469,-7,-4596,32,-115,7
11219,479,5,-4595,26,-95,6
11229,477,-7,-4600,22,-84,5
11237,489,9,-4616,12,-74,3
11248,473,2,-4588,5,-65,5
11258,496,5,-4571,-14,-66,4
11268,488,-1,-4589,-21,-62,2
11278,452,-2,-4596,-23,-53,6
11289,472,-4,-4579,-21,-40,8
11299,473,-5,-4574,-19,-30,6
11309,449,2,-4575,-16,-18,10
11319,480,13,-4584,-12,-9,9
11328,484,2,-4567,-6,2,12
11338,463,7,-4580,0,10,14
11348,455,9,-4586,8,17,17
11358,486,8,-4569,19,28,19
11369,491,-6,-4565,24,27,18
11379,494,-11,-4579,27,26,21
11387,486,-4,-4595,23,25,19
11397,479,4,-4564,15,22,19
11407,477,-6,-4579,7,23,18
11418,478,-3,-4561,-1,24,18
11428,468,-22,-4586,-17,18,18
11438,480,-4,-4585,-40,14,11
11448,493,-24,-4558,-61,15,8
11459,476,-8,-4584,-73,18,6
11469,475,-6,-4571,-77,19,8
11477,467,-2,-4578,-74,18,9
11487,472,13,-4571,-66,22,11
11498,452,21,-4583,-57,23,15
11508,459,24,-4529,-51,25,19
11518,475,8,-4562,-56,27,16
11528,474,11,-4584,-65,26,21
11539,495,11,-4570,-85,25,19
11549,460,10,-4568,-114,24,16
11557,465,12,-4559,-139,26,14
11567,458,19,-4570,-166,27,15
11577,464,33,-4582,-182,27,15
11588,467,53,-4551,-195,24,16
11598,457,28,-4607,-198,18,18
11608,489,54,-4550,-197,8,19
11618,470,58,-4575,-207,-5,16
11629,479,48,-4585,-210,-1,19
11639,475,70,-4545,-218,-1,16
11647,448,61,-4575,-217,0,18
11657,474,48,-4577,-224,-5,20
11668,468,71,-4572,-237,-12,20
11678,457,87,-4552,-240,-15,18
11688,460,83,-4578,-231,-15,17
11698,466,86,-4580,-215,-13,20
11709,447,104,-4576,-195,-9,18
11719,464,95,-4566,-171,-2,21
11727,459,99,-4556,-155,4,25
11737,442,112,-4563,-130,13,27
11747,469,93,-4535,-108,20,32
11758,457,89,-4547,-89,25,33
11768,473,106,-4567,-77,26,35
11778,459,116,-4549,-68,23,37
11788,493,110,-4543,-64,25,40
11797,469,102,-4545,-61,25,38
11807,449,104,-4536,-67,27,41
11817,461,110,-4558,-75,31,39
11827,449,119,-4549,-81,35,39
11838,458,113,-4563,-78,34,36
11848,480,133,-4561,-71,38,36
11858,456,119,-4551,-56,39,40
11868,456,133,-4540,-40,43,39
11876,476,123,-4539,-21,45,41
11887,467,134,-4568,-3,48,44
11897,456,103,-4550,12,48,47
11907,475,126,-4533,17,46,47
11917,462,121,-4524,10,40,47
11928,469,134,-4534,17,38,46
11938,455,125,-4538,40,40,49
11948,458,92,-4542,55,42,54
11956,445,122,-4557,54,43,52
11967,451,117,-4546,54,43,54
11977,443,117,-4536,57,45,55
11987,457,91,-4563,60,47,54
11997,442,110,-4550,70,49,54
12008,450,109,-4546,88,51,54
12018,481,111,-4539,104,51,58
12026,485,91,-4531,110,51,57
12036,457,112,-4535,106,55,55
12046,473,78,-4573,101,60,51
12057,476,97,-4574,100,63,52
12067,454,110,-4561,105,66,53
12077,457,93,-4557,114,68,54
12087,484,103,-4546,133,76,54
12098,471,87,-4551,154,76,58
12106,447,99,-4579,179,77,61
12116,460,77,-4549,204,78,64
12126,445,72,-4579,221,79,68
12137,483,45,-4540,222,76,69
